City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,olonkinbyen,70.9221,-8.7187,21.16,87,100,16.06,SJ,2025-04-12
116,acajutla,13.5928,-89.8275,90.45,41,100,8.1,SV,2025-04-12
117,san patricio,28.017,-97.5169,85.95,46,0,15.55,US,2025-04-12
118,san pedro pochutla,15.7333,-96.4667,92.71,32,2,9.44,MX,2025-04-12
119,galliano,29.4422,-90.2992,71.6,40,0,5.75,US,2025-04-12
120,gerash,27.6652,54.1371,78.94,19,12,3.13,IR,2025-04-12
121,fale old settlement,-9.3852,-171.2468,82.87,73,100,8.72,TK,2025-04-13
122,atafu village,-8.5421,-172.5159,81.75,77,100,10.78,TK,2025-04-13
123,hasaki,35.7333,140.8333,55.0,76,100,4.29,JP,2025-04-13
124,banda aceh,5.5577,95.3222,81.45,80,73,4.0,ID,2025-04-12
125,kotel'nikovo,47.6317,43.1461,43.99,87,100,4.16,RU,2025-04-12
126,palmas,-10.2128,-48.3603,85.87,66,20,3.44,BR,2025-04-12
127,magadan,59.5667,150.8,26.04,97,99,2.35,RU,2025-04-13
128,navolato,24.7672,-107.6944,94.55,21,0,14.16,MX,2025-04-12
129,popondetta,-8.7537,148.2534,73.49,96,98,2.66,PG,2025-04-13
130,ghat,24.9647,10.1728,80.17,13,0,4.09,LY,2025-04-12
131,urengoy,65.9667,78.3667,19.0,94,63,8.41,RU,2025-04-12
132,puerto asis,0.5133,-76.5007,85.21,75,38,4.09,CO,2025-04-12
133,east london,-33.0153,27.9116,69.46,75,100,9.95,ZA,2025-04-12
134,adolfo lopez mateos,28.4667,-107.3,78.49,5,0,5.08,MX,2025-04-12
135,tura,25.5198,90.2201,70.23,85,56,4.12,IN,2025-04-12
136,island harbour,50.724,-1.2758,55.74,79,100,4.0,GB,2025-04-12
137,chonchi,-42.6128,-73.8092,55.11,81,100,1.7,CL,2025-04-12
138,mandalgovi,45.7625,106.2708,37.45,63,100,20.33,MN,2025-04-12
139,college,64.8569,-147.8028,36.09,65,20,1.01,US,2025-04-12
140,farrokh shahr,32.2717,50.9801,49.26,71,40,4.61,IR,2025-04-12
141,maraba,-5.3686,-49.1178,89.78,62,40,2.3,BR,2025-04-12
142,labrador city,52.9463,-66.9114,40.91,24,20,9.22,CA,2025-04-12
143,bathurst,-33.4166,149.5806,52.05,94,0,3.0,AU,2025-04-13
144,peskovka,59.0448,52.3606,30.42,97,94,9.19,RU,2025-04-12
145,narayanpet,16.7333,77.5,87.4,18,88,4.52,IN,2025-04-12
146,sabzevar,36.2126,57.6819,69.98,44,90,5.46,IR,2025-04-12
147,al wafrah,28.6392,47.9306,75.09,22,0,16.71,KW,2025-04-12
148,makinsk,52.6292,70.4169,42.33,78,97,7.11,KZ,2025-04-12
149,safford,32.834,-109.7076,89.74,6,0,5.75,US,2025-04-12
150,swakopmund,-22.6833,14.5333,63.12,81,0,6.64,NA,2025-04-12
151,kharp,66.8014,65.8081,17.28,95,99,7.99,RU,2025-04-12
152,crucecita,-28.95,-58.9833,81.59,42,5,10.54,AR,2025-04-12
153,mount gambier,-37.8333,140.7667,67.77,36,2,8.77,AU,2025-04-13
154,terrace,54.5163,-128.6035,46.31,57,75,12.66,CA,2025-04-12
155,sao gabriel da cachoeira,-0.1303,-67.0892,85.8,70,40,5.75,BR,2025-04-12
156,talnakh,69.4865,88.3972,13.66,96,100,6.06,RU,2025-04-12
157,tarnogskiy gorodok,60.4997,43.5761,25.34,80,100,3.58,RU,2025-04-12
158,choyr,46.3611,108.3611,31.21,80,9,13.42,MN,2025-04-12
159,tiksi,71.6872,128.8694,6.01,96,100,3.67,RU,2025-04-13
160,alice springs,-23.7,133.8833,58.55,82,0,3.44,AU,2025-04-13
161,cannonvale,-20.2833,148.7,76.39,82,19,20.42,AU,2025-04-13
162,yei,4.095,30.6779,69.19,90,100,3.33,SS,2025-04-12
163,cole harbour,44.6724,-63.4751,40.96,49,100,14.97,CA,2025-04-12
164,minas de marcona,-15.2119,-75.1103,71.06,54,29,20.24,PE,2025-04-12
165,omutinskiy,56.4745,67.6709,35.26,82,33,5.86,RU,2025-04-12
166,saint-leu,-21.15,55.2833,77.86,82,41,3.27,RE,2025-04-12
167,vallegrande,-18.4897,-64.1069,64.38,80,90,6.33,BO,2025-04-12
168,bima,-8.4667,118.7167,74.59,95,100,3.24,ID,2025-04-12
169,el galpon,-25.3807,-64.6526,71.31,72,99,9.01,AR,2025-04-12
170,barah,13.7,30.3667,76.28,10,79,11.07,SD,2025-04-12
171,queenstown,-31.8976,26.8753,58.53,66,100,4.05,ZA,2025-04-12
172,sitka,57.0531,-135.33,42.69,75,100,4.59,US,2025-04-12
173,tena,-0.9833,-77.8167,77.83,89,84,1.5,EC,2025-04-12
174,mahebourg,-20.4081,57.7,82.69,83,40,10.36,MU,2025-04-12
175,papatowai,-46.5619,169.4708,50.74,89,100,4.94,NZ,2025-04-13
176,esquina,-30.0144,-59.5272,76.51,60,98,3.94,AR,2025-04-12
177,utrik,11.2278,169.8474,80.28,80,10,20.58,MH,2025-04-13
178,viiala,61.2102,23.7674,35.2,75,11,6.44,FI,2025-04-12
179,bria,6.5423,21.9863,76.01,72,66,4.59,CF,2025-04-12
180,wenshui,28.4506,106.5267,48.33,69,100,0.72,CN,2025-04-12
181,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,69,20,6.71,RU,2025-04-13
182,naryshkino,52.9678,35.7268,37.18,79,100,7.25,RU,2025-04-12
183,sortavala,61.7053,30.6918,35.01,82,18,10.18,RU,2025-04-12
184,trapani,37.8333,12.6667,60.35,77,20,10.36,IT,2025-04-12
185,kingston,17.997,-76.7936,83.35,74,40,8.05,JM,2025-04-12
186,acarau,-2.8856,-40.12,81.19,79,62,8.46,BR,2025-04-12
187,san antonio de pale,-1.4014,5.6325,82.0,75,26,13.38,GQ,2025-04-12
188,port elizabeth,-33.918,25.5701,65.32,90,0,8.99,ZA,2025-04-12
189,hanzhong,33.0728,107.0303,49.62,31,80,2.3,CN,2025-04-12
190,penzance,50.1186,-5.5371,52.75,88,83,17.07,GB,2025-04-12
191,ust-nera,64.5667,143.2,22.19,95,100,4.09,RU,2025-04-13
192,lihue,21.9789,-159.3672,78.39,73,40,10.36,US,2025-04-12
193,kodiak,57.79,-152.4072,35.11,93,100,34.52,US,2025-04-12
194,westport,41.1415,-73.3579,41.27,86,100,17.27,US,2025-04-12
195,plouzane,48.3833,-4.6167,53.89,84,75,11.5,FR,2025-04-12
196,selfoss,63.9331,-20.9971,40.03,54,100,18.95,IS,2025-04-12
197,bakani,24.2833,76.2333,85.59,27,64,5.12,IN,2025-04-12
198,rongelap,11.1635,166.8941,80.87,78,80,20.58,MH,2025-04-13
199,kapuskasing,49.4169,-82.4331,53.69,30,20,9.22,CA,2025-04-12
200,mitu,1.1983,-70.1733,82.78,72,100,5.21,CO,2025-04-12
201,amga,60.8953,131.9608,-1.73,100,91,0.85,RU,2025-04-13
202,sao vicente,-23.9631,-46.3919,80.89,54,20,7.0,BR,2025-04-12
203,maloye ganyushkino,46.6,49.2667,48.43,48,100,10.18,KZ,2025-04-12
204,kapa'a,22.0752,-159.319,79.12,84,40,10.36,US,2025-04-12
205,nagqu,31.5,92.0,22.6,90,100,3.11,CN,2025-04-12
206,masterton,-40.9597,175.6575,54.39,84,82,1.5,NZ,2025-04-13
207,palikir - national government center,6.9248,158.1611,81.34,83,75,6.91,FM,2025-04-13
208,codrington,-38.2667,141.9667,70.29,37,7,16.42,AU,2025-04-13
209,korocha,50.8107,37.1953,41.34,67,21,5.19,RU,2025-04-12
210,geraldton,-28.7667,114.6,68.41,94,23,3.44,AU,2025-04-12
211,bangar,16.8936,120.4243,79.74,79,100,5.53,PH,2025-04-12
212,lensk,60.7253,114.9278,25.75,96,100,5.97,RU,2025-04-13
213,vila franca do campo,37.7167,-25.4333,59.41,81,80,7.7,PT,2025-04-12
214,yreka,41.7354,-122.6345,53.78,47,0,11.5,US,2025-04-12
215,nizhneudinsk,54.9076,99.0276,44.47,77,100,5.61,RU,2025-04-12
216,udachny,66.4167,112.4,21.07,95,100,11.18,RU,2025-04-13
217,nar'yan-mar,67.6713,53.087,3.02,96,100,4.0,RU,2025-04-12
218,bukama,-9.2,25.85,68.85,95,39,0.76,CD,2025-04-12
219,bredasdorp,-34.5322,20.0403,63.57,65,100,5.48,ZA,2025-04-12
220,xiongzhou,25.1167,114.3,54.54,81,61,1.34,CN,2025-04-12
221,ta`u,-14.2336,-169.5144,83.64,71,19,21.7,AS,2025-04-12
222,pathein,16.7833,94.7333,78.44,82,100,3.49,MM,2025-04-12
223,katsina-ala,7.1667,9.2833,91.85,32,15,2.73,NG,2025-04-12
224,gizo,-8.103,156.8419,82.96,77,100,4.61,SB,2025-04-13
225,georgetown,5.4112,100.3354,80.55,84,20,5.01,MY,2025-04-12
226,douz,33.4663,9.0203,82.15,17,30,1.74,TN,2025-04-12
227,koscierzyna,54.1223,17.9812,45.73,89,30,5.32,PL,2025-04-12
228,shalqar,47.8333,59.6,46.27,63,97,10.65,KZ,2025-04-12
229,tromso,69.6496,18.957,28.42,64,75,4.61,NO,2025-04-12
230,cambria,35.5641,-121.0808,73.24,63,0,15.32,US,2025-04-12
231,magole,-6.3667,37.3667,70.88,94,36,1.59,TZ,2025-04-12
232,palmer,42.1584,-72.3287,38.52,81,100,1.99,US,2025-04-12
233,pakenham,-38.0667,145.4833,68.76,54,100,5.44,AU,2025-04-13
234,carnarvon,-24.8667,113.6333,75.79,79,3,14.14,AU,2025-04-12
235,churachandpur,24.3333,93.6667,65.19,81,13,1.19,IN,2025-04-12
236,pitimbu,-7.4706,-34.8086,84.67,73,65,7.52,BR,2025-04-12
237,"laikit, laikit ii (dimembe)",1.4792,124.9735,72.45,94,20,3.44,ID,2025-04-12
238,kisangani,0.5167,25.2,70.86,99,97,2.26,CD,2025-04-12
239,yunyang,33.4474,112.7142,42.53,32,11,5.41,CN,2025-04-12
240,yabassi,4.457,9.9682,78.73,91,11,1.36,CM,2025-04-12
241,ribeira brava,32.65,-17.0667,65.03,91,30,7.31,PT,2025-04-12
242,haiku-pauwela,20.9219,-156.3051,79.25,70,20,21.99,US,2025-04-12
243,takoradi,4.8845,-1.7554,81.77,81,90,6.62,GH,2025-04-12
244,huarmey,-10.0681,-78.1522,75.51,71,96,10.83,PE,2025-04-12
245,ebaye,8.7748,167.7392,80.62,78,40,11.5,MH,2025-04-13
246,coron,11.9986,120.2043,80.71,83,100,7.99,PH,2025-04-12
247,devils lake,48.1128,-98.8651,65.95,35,0,12.66,US,2025-04-12
248,vernon,50.2581,-119.2691,52.75,44,100,7.0,CA,2025-04-12
249,kloulklubed,7.0419,134.2556,82.45,78,100,13.51,PW,2025-04-13
250,thunder bay,48.4001,-89.3168,48.11,53,100,13.8,CA,2025-04-12
251,ivdel',60.6911,60.4206,35.33,86,100,10.07,RU,2025-04-12
252,gadzhiyevo,69.2551,33.3362,9.88,96,24,4.36,RU,2025-04-12
253,crane,31.3974,-102.3501,93.63,9,0,17.36,US,2025-04-12
254,brookings,44.3114,-96.7984,73.06,35,0,14.97,US,2025-04-12
255,poronaysk,49.2167,143.1167,31.75,95,0,4.85,RU,2025-04-13
256,taunggyi,20.7833,97.0333,65.98,79,100,0.43,MM,2025-04-12
257,mejit,10.2753,170.8646,80.38,80,42,22.15,MH,2025-04-13
258,coquimbo,-29.9533,-71.3436,65.93,58,0,14.97,CL,2025-04-12
259,chui,-33.6971,-53.4616,71.13,91,35,10.71,UY,2025-04-12
260,iskateley,67.6803,53.1512,3.02,96,100,3.87,RU,2025-04-12
261,baissa,7.2333,10.6333,84.38,37,9,1.9,NG,2025-04-12
262,fort bragg,35.139,-79.006,61.83,53,100,11.5,US,2025-04-12
263,mahibadhoo,3.7833,72.9667,82.99,76,99,9.22,MV,2025-04-12
264,east naples,26.1384,-81.7665,76.01,39,0,19.57,US,2025-04-12
265,orting,47.0979,-122.2043,54.52,61,75,0.0,US,2025-04-12
266,nouadhibou,20.931,-17.0347,71.58,68,20,16.11,MR,2025-04-12
267,colonia,50.9333,6.95,65.05,38,0,5.75,DE,2025-04-12
268,tahta,26.7693,31.5021,70.27,31,0,3.69,EG,2025-04-12
269,la libertad,-2.2333,-80.9,83.86,74,20,8.05,EC,2025-04-12
270,pingliang,35.5392,106.6861,42.03,23,2,7.36,CN,2025-04-12
271,valdivia,-39.8142,-73.2459,59.09,69,100,3.15,CL,2025-04-12
272,vanimo,-2.6741,141.3028,77.41,92,100,4.43,PG,2025-04-13
273,flying fish cove,-10.4217,105.6791,80.28,89,75,10.36,CX,2025-04-12
274,kyren,51.6828,102.1408,41.81,82,96,2.33,RU,2025-04-12
275,shaowu,27.3409,117.4831,47.77,66,34,3.62,CN,2025-04-12
276,northam,51.0333,-4.2167,47.01,94,63,7.45,GB,2025-04-12
277,mocimboa,-11.3167,40.35,75.9,91,90,6.62,MZ,2025-04-12
278,pestretsy,55.7531,49.6545,33.94,72,24,11.07,RU,2025-04-12
279,macapa,0.0389,-51.0664,85.98,74,40,9.22,BR,2025-04-12
280,port blair,11.6667,92.75,78.84,94,40,2.3,IN,2025-04-12
281,hithadhoo,-0.6,73.0833,83.3,74,100,4.34,MV,2025-04-12
282,korla,41.7597,86.1469,61.38,14,100,8.34,CN,2025-04-12
283,susuman,62.7833,148.1667,26.85,90,100,3.87,RU,2025-04-13
284,san luis de la loma,17.2706,-100.8939,87.12,41,0,8.63,MX,2025-04-12
285,mount isa,-20.7333,139.5,73.17,60,0,5.75,AU,2025-04-13
286,motueka,-41.1333,173.0167,54.1,86,9,4.54,NZ,2025-04-13
287,lucheng,31.2336,117.2806,45.18,43,3,8.63,CN,2025-04-12
288,prien am chiemsee,47.8667,12.3333,55.53,66,49,3.22,DE,2025-04-12
289,barcelos,41.5388,-8.6151,56.86,95,100,4.63,PT,2025-04-12
290,nuevo ideal,24.8875,-105.0728,80.19,7,0,7.94,MX,2025-04-12
291,malanje,-9.5402,16.341,67.12,95,82,2.26,AO,2025-04-12
292,yanbu,24.0891,38.0637,71.64,49,0,13.8,SA,2025-04-12
293,onega,63.9061,38.1404,22.77,94,100,8.08,RU,2025-04-12
294,pokachi,61.7198,75.3683,25.18,98,85,5.03,RU,2025-04-12
295,prince rupert,54.3161,-130.3201,46.49,62,100,25.32,CA,2025-04-12
296,weno,7.4515,151.8468,82.35,89,75,6.91,FM,2025-04-13
297,high river,50.5834,-113.8687,49.3,40,100,7.2,CA,2025-04-12
298,bentiu,9.2333,29.8333,87.44,34,100,3.2,SS,2025-04-12
299,sikonge,-5.6333,32.7667,65.07,93,100,3.74,TZ,2025-04-12
300,mumbwa,-14.9783,27.0619,65.61,87,100,6.69,ZM,2025-04-12
301,hastings,50.8552,0.5729,57.99,85,100,7.05,GB,2025-04-12
302,playas,-2.6333,-80.3833,79.9,80,65,7.45,EC,2025-04-12
303,qaqortoq,60.7167,-46.0333,26.83,71,99,2.13,GL,2025-04-12
304,nema,57.5067,50.5011,31.86,88,23,11.03,RU,2025-04-12
305,hadibu,12.65,54.0333,82.47,74,53,6.98,YE,2025-04-12
306,alotau,-10.3069,150.4462,76.15,94,83,3.94,PG,2025-04-13
307,kilindoni,-7.9139,39.6668,82.49,78,21,13.2,TZ,2025-04-12
308,saint-philippe,-21.3585,55.7679,79.81,85,75,11.3,RE,2025-04-12
309,mpika,-11.8343,31.4529,61.99,98,58,7.09,ZM,2025-04-12
310,el calafate,-50.3408,-72.2768,43.83,85,100,10.33,AR,2025-04-12
311,kone,-21.0595,164.8658,76.12,93,98,3.29,NC,2025-04-13
312,dzuunharaa,48.8523,106.4579,35.28,68,100,0.92,MN,2025-04-13
313,caraballeda,10.6112,-66.8522,97.38,46,39,12.66,VE,2025-04-12
314,outjo,-20.1167,16.15,71.33,35,0,8.21,NA,2025-04-12
315,portland,45.5234,-122.6762,54.66,66,100,5.01,US,2025-04-12
316,saacow,1.6279,42.4407,81.43,75,100,12.53,SO,2025-04-12
317,bodaybo,57.8506,114.1933,26.8,96,100,3.67,RU,2025-04-13
318,taksimo,56.3444,114.8794,20.12,90,100,1.5,RU,2025-04-13
319,taroudant,30.4703,-8.877,63.21,73,71,12.48,MA,2025-04-12
320,pemangkat,1.1667,108.9667,79.47,86,100,4.14,ID,2025-04-12
321,bogota,4.6097,-74.0817,67.51,60,75,11.5,CO,2025-04-12
322,tazacorte,28.629,-17.9293,67.17,75,20,4.61,ES,2025-04-12
323,viedma,-40.8135,-62.9967,60.46,50,100,9.22,AR,2025-04-12
324,karuzi,-3.125,30.1333,58.1,95,100,0.27,BI,2025-04-12
325,nchelenge,-9.3451,28.734,70.54,82,67,5.64,ZM,2025-04-12
326,wewak,-3.5534,143.6268,78.55,85,96,4.29,PG,2025-04-13
327,bamboo flat,11.7,92.7167,78.89,94,40,2.3,IN,2025-04-12
328,enriquillo,17.9,-71.2333,82.98,67,73,8.25,DO,2025-04-12
329,constitucion,-35.3333,-72.4167,64.69,48,11,16.75,CL,2025-04-12
330,port shepstone,-30.7414,30.455,72.21,87,47,11.83,ZA,2025-04-12
331,nanao,37.05,136.9667,51.82,88,100,2.28,JP,2025-04-13
332,puerto baquerizo moreno,-0.9,-89.6,83.39,84,75,5.75,EC,2025-04-12
333,maddagiri,13.6606,77.2092,77.05,54,100,6.93,IN,2025-04-12
334,junagadh,21.5167,70.4667,78.42,80,2,6.29,IN,2025-04-12
335,uliastay,47.7417,96.8444,34.16,40,83,5.39,MN,2025-04-12
336,yanam,16.7333,82.2167,79.7,63,33,3.62,IN,2025-04-12
337,parauna,-16.9478,-50.4486,84.88,49,96,7.23,BR,2025-04-12
338,kavaratti,10.5669,72.642,83.35,71,35,8.63,IN,2025-04-12
339,benghazi,32.1167,20.0667,58.5,59,0,10.02,LY,2025-04-12
340,revda,56.801,59.9303,34.05,80,22,10.6,RU,2025-04-12
341,machico,32.7,-16.7667,65.03,79,40,9.22,PT,2025-04-12
342,kavieng,-2.5744,150.7967,81.63,79,58,5.61,PG,2025-04-13
343,shenjiamen,29.9576,122.298,50.4,48,16,19.69,CN,2025-04-13
344,port macquarie,-31.4333,152.9167,64.08,99,31,1.99,AU,2025-04-13
345,paracuru,-3.41,-39.0306,80.8,81,94,6.22,BR,2025-04-12
346,inhambane,-23.865,35.3833,72.63,83,0,5.01,MZ,2025-04-12
347,salinopolis,-0.6136,-47.3561,80.47,85,58,11.16,BR,2025-04-12
